name	doi	aerobic_status	morphology	motility	spore_formation	gram_stain	bile_sensitive	saccharolytic	comments
Lactococcus	10.1002/9781118960608.gbm00610	facultative anaerobe	cocci or oval-shaped	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic	
Leptotrichia	10.1002/9781118960608.gbm00771	variable	rods or slightly curved rods	non-motile	not indicated	Gram-negative	not indicated	saccharolytic	
Neisseria	10.1002/9781118960608.gbm00981	aerobe	rods or cocci	variable	non-spore forming	Gram-negative	not indicated	mixed	
Propionibacterium	10.1002/9781118960608.gbm00167	microaerobe or anaerobe	pleomorphic rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic	
Pseudomonas	10.1002/9781118960608.gbm01210	variable	rods or slightly curved rods	variable	not indicated	Gram-negative	not indicated	mixed	
Ralstonia	10.1002/9781118960608.gbm00941	aerobe	rod/ bacilli	variable	not indicated	Gram-negative	not indicated	not indicated	
Ruminococcus	10.1002/9781118960608.gbm00678	obligate anaerobe	cocci	variable	not indicated	Gram-positive	not indicated	saccharolytic	
Sneathia	10.1002/9781118960608.gbm00773	anaerobe (unspecified)	rod/ bacilli	non-motile	not indicated	Gram-negative	not indicated	saccharolytic	
Veillonella	10.1002/9781118960608.gbm00710	anaerobe (unspecified)	cocci	non-motile	non-spore forming	Gram-negative	not indicated	mixed	
Staphylococcus	10.1002/9781118960608.gbm00569	facultative anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic	
Streptococcus	10.1002/9781118960608.gbm00612	facultative anaerobe	cocci or ovoid	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic	
