name	doi	aerobic_status	morphology	motility	spore_formation	gram_stain	bile_sensitive	saccharolytic	comments	urease	catalase	formate_production	acetate_production	propionate_production	butyrate_production	isobutyrate_production	valerate_production	isovalerate_production
Staphylococcus argenteus	10.1099/ijs.0.062752-0	facultative anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus auricularis	10.1099/00207713-33-1-9	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus caprae	10.1099/00207713-33-3-480	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus carnosus	10.1099/00207713-32-2-153	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus caseolyticus	10.1099/00207713-32-1-15	aerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus cohnii	10.1099/00207713-25-1-50	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus condimenti	10.1099/00207713-48-3-651	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Escherichia albertii	10.1099/ijs.0.02475-0	not indicated	rod/ bacilli	non-motile	not indicated	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	consumed	not indicated	not indicated	not indicated	not indicated	not indicated
Escherichia marmotae	10.1099/ijs.0.000228	facultative anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus delphini	10.1099/00207713-38-4-436	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus devriesei	10.1099/ijs.0.015982-0	not indicated	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease variable	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus felis	10.1099/00207713-39-4-373	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus fleurettii	10.1099/00207713-50-4-1521	aerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus australis	10.1099/00207713-51-4-1277	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus caballi	10.1099/ijs.0.65063-0	facultative anaerobe	ovoid	non-motile	not indicated	Gram-positive	growth in 20% bile	saccharolytic		urease positive	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus henryi	10.1099/ijs.0.65063-0	anaerobe (unspecified)	ovoid	non-motile	not indicated	Gram-positive	not indicated	not indicated		urease positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus canis	10.1099/00207713-36-3-422	facultative anaerobe	cocci	not indicated	not indicated	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus caprae	10.1099/ijsem.0.000697	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus castoreus	10.1099/ijs.0.63433-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus cecorum	10.1099/00207713-33-4-772	anaerobe (unspecified)	cocci	non-motile	non-spore forming	Gram-positive	growth in 20% bile	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus constellatus	10.1099/00207713-24-2-260	anaerobe (unspecified)	cocci or oval-shaped	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	major product	major product	not producted	not indicated	not indicated	not indicated	not indicated
Streptococcus criceti	10.1099/00207713-27-1-26	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus cristatus	10.1099/00207713-41-4-543	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus cuniculi	10.1099/ijs.0.063123-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus gallinarum	10.1099/00207713-33-3-480	microaerobe or anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus dentapri	10.1099/ijs.0.012799-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus dentasini	10.1099/ijs.0.047142-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus jettensis	10.1099/ijs.0.044438-0	not indicated	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease variable	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus dentirousetti	10.1099/ijs.0.65204-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus lugdunensis	10.1099/00207713-38-2-168	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease variable	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus dentisani	10.1099/ijs.0.054098-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus didelphis	10.1099/00207713-50-2-759	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus outrage	10.1099/00207713-47-3-724	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus downei	10.1099/00207713-38-1-25	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus massiliensis	10.1099/ijs.0.006486-0	aerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not producted	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus durans	10.1099/00207713-34-3-327	facultative anaerobe	cocci	not indicated	not indicated	Gram-positive	growth in 20% bile	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus microti	10.1099/ijs.0.011429-0	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus muscae	10.1099/00207713-42-1-97	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus nepalensis	10.1099/ijs.0.02646-0	microaerobe or anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus pasteuri	10.1099/00207713-43-2-237	not indicated	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus pettenkoferi	10.1099/ijs.0.64381-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Straphylococcus piscifermentans	10.1099/00207713-42-4-577	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus pseudintermedius	10.1099/ijs.0.63413-0	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus pulvereri	10.1099/00207713-45-1-169	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease variable	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus rostri	10.1099/ijs.0.012443-0	not indicated	cocci	non-motile	not indicated	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus scheiferi	10.1099/00207713-38-2-168	not indicated	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus schweitzeri	10.1099/ijs.0.062752-0	facultative anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus simiae	10.1099/ijs.0.63590-0	not indicated	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus succinus	10.1099/00207713-48-2-511	not indicated	cocci	not indicated	non-spore forming	Gram-positive	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Staphylococcus vitulus	10.1099/00207713-44-3-454	microaerobe or anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bosea thiooxidans	10.1099/00207713-46-4-981	aerobe	rod/ bacilli	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	consumed	not indicated	not indicated	not indicated	not indicated	not indicated
Comamonas terrigena	10.1099/00207713-35-4-443	aerobe	rods or slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	consumed	consumed	consumed	consumed	consumed	consumed
Craurococcus roseus	10.1099/00207713-48-3-1043	aerobe	cocci	motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	catalase positive	consumed	consumed	consumed	consumed	not indicated	not indicated	not indicated
Devosia riboflavina	10.1099/00207713-46-1-16	aerobe	rod/ bacilli	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Dietzia maris	10.1099/00207713-45-1-32	aerobe	rods or cocci	not indicated	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Duganella zoogloeoides	10.1099/00207713-47-4-	aerobe	rod/ bacilli	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease positive	catalase positive	not producted	not producted	not producted	not producted	not indicated	not indicated	not indicated
Dyadobacter fermentans	10.1099/00207713-50-2-751	aerobe	rods or cocci	non-motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	catalase positive	not indicated	consumed	not indicated	not indicated	not indicated	not indicated	not indicated
Enhydrobacter aerosaccus	10.1099/00207713-37-3-289	facultative anaerobe	rod/ bacilli	non-motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	catalase positive	not producted	consumed	not indicated	not producted	not indicated	not indicated	not indicated
Hoeflea marina	10.1099/ijs.0.63291-0	aerobe	rod/ bacilli	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease variable	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Hydrotalea flava	10.1099/ijs.0.023002-0	aerobe	rod/ bacilli	non-motile	not indicated	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	not producted	not producted	not indicated	not indicated	not indicated	not indicated
Streptococcus dysgalactiae	10.1099/00207713-33-2-404	not indicated	cocci or oval-shaped	not indicated	not indicated	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus entericus	10.1099/00207713-52-2-665	facultative anaerobe	cocci	non-motile	not indicated	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus ferus	10.1099/00207713-33-4-883	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus gallinaceus	10.1099/00207713-52-4-1161	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus gallinarum	10.1099/00207713-32-4-410	not indicated	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus halichoeri	10.1099/ijs.0.63082-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus hansenii	10.1099/00207713-24-2-260	obligate anaerobe	cocci	non-motile	not indicated	Gram-positive	growth in 20% bile	saccharolytic		not indicated	not indicated	not indicated	major product	not producted	not indicated	not indicated	not indicated	not indicated
Streptococcus hongkongensis	10.1099/ijs.0.045120-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	growth in 20% bile	saccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus hyointestinalis	10.1099/00207713-38-4-440	facultative anaerobe	cocci	not indicated	not indicated	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus hyovaginalis	10.1099/00207713-47-4-1073	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus ictaluri	10.1099/ijs.0.64810-0	not indicated	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus infantarius	10.1099/00207713-50-4-1425	not indicated	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus infantis	10.1099/00207713-48-3-921	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus iniae	10.1099/00207713-26-4-545	facultative anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus intestinalis	10.1099/00207713-38-3-245	aerotolerant	cocci	non-motile	non-spore forming	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus lactarius	10.1099/ijs.0.021642-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus loxodontisalivarius	10.1099/ijs.0.063263-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus lutetiensis	10.1099/00207713-52-4-1247	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus macacae	10.1099/00207713-34-3-332	anaerobe (unspecified)	cocci	not indicated	not indicated	Gram-positive	growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus macedonicus	10.1099/00207713-48-2-519	not indicated	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus marimammalium	10.1099/ijs.0.63342-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		urease variable	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus massiliensis	10.1099/ijs.0.64009-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus merionis	10.1099/ijs.0.65823-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus minor	10.1099/ijs.0.02818-0	not indicated	ovoid	not indicated	not indicated	Gram-positive	growth in 20% bile	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus morbillorum	10.1099/00207713-24-2-260	anaerobe (unspecified)	cocci	non-motile	non-spore forming	Gram-positive	somewhat inhibited by 20% bile	saccharolytic		urease negative	catalase negative	major product	major product	not producted	not indicated	not indicated	not indicated	not indicated
Streptococcus moroccensis	10.1099/ijs.0.062893-0	microaerobe or aerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus oligofermentans	10.1099/ijs.0.02493-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus oralis	10.1099/00207713-32-4-410	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus oricebi	10.1099/ijsem.0.000834	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus oriloxodontae	10.1099/ijs.0.064048-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus orisasini	10.1099/ijs.0.047142-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus orisratti	10.1099/00207713-50-1-55	facultative anaerobe	cocci	non-motile	not indicated	Gram-positive	growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus orisuis	10.1099/ijs.0.64741-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus ovis	10.1099/00207713-51-3-1147	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus parasuis	10.1099/ijs.0.067116-0	not indicated	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus parvulus	10.1099/00207713-33-1-82	obligate anaerobe	cocci	non-motile	non-spore forming	Gram-positive	no growth in 20% bile	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus pasteurianus	10.1099/00207713-52-4-1247	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus peroris	10.1099/00207713-48-3-921	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus pharyngis	10.1099/ijs.0.000351	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus phocae	10.1099/00207713-44-4-646	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus pleomorphus	10.1099/00221287-102-1-45	obligate anaerobe	pleomorphic	not indicated	not indicated	Gram-variable	not indicated	saccharolytic		not indicated	catalase negative	minor product	minor product	not indicated	minor product	not indicated	not indicated	not indicated
Kocuria rosea	10.1099/00207713-45-4-682	aerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus pluranimalium	10.1099/00207713-49-3-1221	not indicated	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus plurextorum	10.1099/ijs.0.65636-0	facultative anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus porci	10.1099/ijs.0.011171-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus porcorum	10.1099/ijs.0.022657-0	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus ratti	10.1099/00207713-27-1-26	microaerobe or aerobe	cocci	not indicated	not indicated	Gram-positive	no growth in 20% bile	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Limnobacter thiooxidans	10.1099/00207713-51-4-1463	not indicated	slightly curved rods	motile	not indicated	not indicated	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Methylobacterium organophilum	10.1099/00207713-26-2-226	aerobe	rod/ bacilli	motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Methylophilus methylotrophus	10.1099/00207713-37-4-446	aerobe	rods or slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease positive	catalase positive	consumed	consumed	not producted	not producted	not producted	not producted	not producted
Methyloversatilis universalis	10.1099/ijs.0.64422-0	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	asaccharolytic		urease negative	catalase positive	consumed	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Microlunatus phosphovorus	10.1099/00207713-45-1-17	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase positive	not indicated	consumed	not indicated	not indicated	not indicated	not indicated	not indicated
Niastella koreensis	10.1099/ijs.0.64242-0	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Olivibacter sitiensis	10.1099/ijs.0.64561-0	aerobe	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Patulibacter minatonensis	10.1099/ijs.0.63796-0	aerobe	rod/ bacilli	motile	non-spore forming	Gram-positive	not indicated	asaccharolytic		urease negative	catalase positive	not indicated	consumed	consumed	not indicated	not indicated	not indicated	not indicated
Wautersiella falsenii	10.1099/ijs.0.64393-0	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		urease positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Ureaplasma urealyticum	10.1099/00207713-24-2-160	facultative anaerobe	cocci or oval-shaped	non-motile	not indicated	Gram-negative	not indicated	asaccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus rifensis	10.1099/ijs.0.062893-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Streptococcus rubneri	10.1099/ijs.0.048538-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Actinobaculum suis	10.1099/00207713-47-3-899	anaerobe (unspecified)	pleomorphic	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase negative	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
