EF139186	1	1532	s119	Burkholderia caballeronis		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AF148556	1	1408	s93	Burkholderia cenocepacia		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
U96927	1	1610	s93	Burkholderia cepacia	type sp.	Burkholderiaceae	2, p, TA, ht	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AY949196	1	1388	s119	Burkholderia choica		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
JX986975	1	1485	s128	Burkholderia contaminans		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
HG324048	1	1484	s119	Burkholderia cordobensis		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AM747629	1	1498	s100	Burkholderia diffusa		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
JX009148	1	1469	s128	Burkholderia dipogonis		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KF915802	1	1453	s128	Burkholderia ginsengiterrae		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
EU024168	1	1313	s100	Burkholderia gladioli		Burkholderiaceae	2, p	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
U96931	1	1510	s93	Burkholderia glumae		Burkholderiaceae	1, p	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
FJ796457	1	1459	s128	Burkholderia humisilvae		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KF733462	1	1414	s123	Burkholderia insulsa		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KJ400396	1	1498	s121	Burkholderia jiangsuensis		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KJ601731	1	1400	s128	Burkholderia jirisanensis		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
CP000150	139518	140997	s100	Burkholderia lata		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AM747628	1	1502	s100	Burkholderia latens		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AF110188	1	1488	s93	Burkholderia mallei		Burkholderiaceae	3, Zng	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KF155693	1	1464	s123	Burkholderia megalochromosomata		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AM747632	1	1505	s100	Burkholderia metallica		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KF601211	1	1437	s128	Burkholderia metalliresistens		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KF155692	1	1463	s123	Burkholderia monticola		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Y18703	1	1479	s93	Burkholderia multivorans		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
DQ108388	1	1499	s93	Burkholderia oklahomensis		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KF999960	1	1448	s128	Burkholderia panaciterrae		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
U96933	1	1549	s93	Burkholderia plantarii		Burkholderiaceae	1, p	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
DQ108392	1	1488	s93	Burkholderia pseudomallei		Burkholderiaceae	3, ht	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
HE962386	1	1485	s119	Burkholderia pseudomultivorans		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
U96930	1	1528	s93	Burkholderia pyrrocinia		Burkholderiaceae	1	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AB365791	1	1459	s128	Burkholderia rhizosphaerae		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
EU219865	1	1492	s119	Burkholderia rhynchosiae		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AM747631	1	1498	s100	Burkholderia seminalis		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AF097533	1	1494	s93	Burkholderia stabilis		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
LK023502	1	1485	s128	Burkholderia stagnalis		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
KJ746438	1	1453	s123	Burkholderia susongensis		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
HE981727	1	1501	s119	Burkholderia telluris		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
HE981726	1	1511	s119	Burkholderia terrestris		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
LK023503	1	1443	s128	Burkholderia territorii		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
U91838	1	1488	s93	Burkholderia thailandensis		Burkholderiaceae	1, +	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AB030584	1	1388	s93	Burkholderia ubonensis		Burkholderiaceae	1, +	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AY154367	1	1454	s119	Burkholderia udeis		Burkholderiaceae		http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AF097534	1	1494	s93	Burkholderia vietnamiensis		Burkholderiaceae	2	http://www.bacterio.net/burkholderia.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AJ233400	1	1504	s93	Buttiauxella agrestis	type sp.	Enterobacteriaceae	1	http://www.bacterio.net/buttiauxella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella
AJ233401	1	1505	s93	Buttiauxella brennerae		Enterobacteriaceae	1	http://www.bacterio.net/buttiauxella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella
AJ233402	1	1504	s93	Buttiauxella ferragutiae		Enterobacteriaceae	1	http://www.bacterio.net/buttiauxella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella
AJ233403	1	1495	s93	Buttiauxella gaviniae		Enterobacteriaceae	1	http://www.bacterio.net/buttiauxella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella
AJ233404	1	1498	s93	Buttiauxella izardii		Enterobacteriaceae	1	http://www.bacterio.net/buttiauxella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella
AJ233405	1	1497	s93	Buttiauxella noackiae		Enterobacteriaceae	1, +	http://www.bacterio.net/buttiauxella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella
AJ233406	1	1507	s93	Buttiauxella warmboldiae		Enterobacteriaceae	1	http://www.bacterio.net/buttiauxella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Enterobacteriales-Pasteurellales and Orbales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella
EU410376	1	1482	s100	Butyricicoccus pullicaecorum	type sp.	Clostridiaceae		http://www.bacterio.net/butyricicoccus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Ruminococcaceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus
AB916501	1	1486	s121	Butyricimonas faecihominis		Porphyromonadaceae		http://www.bacterio.net/butyricimonas.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Bacteroidales	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
AB916502	1	1486	s121	Butyricimonas paravirosa		Porphyromonadaceae		http://www.bacterio.net/butyricimonas.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Bacteroidales	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
AB443948	1	1484	s100	Butyricimonas synergistica	type sp.	Porphyromonadaceae		http://www.bacterio.net/butyricimonas.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Bacteroidales	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
AB443949	1	1486	s100	Butyricimonas virosa		Porphyromonadaceae		http://www.bacterio.net/butyricimonas.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Bacteroidales	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
ABWN01000012	312	1822	s102	Butyrivibrio crossotus		Lachnospiraceae	1	http://www.bacterio.net/butyrivibrio.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio
U41172	1	1477	s93	Butyrivibrio fibrisolvens	type sp.	Lachnospiraceae	1	http://www.bacterio.net/butyrivibrio.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio
AJ428553	1	1475	s93	Butyrivibrio hungatei		Lachnospiraceae	1	http://www.bacterio.net/butyrivibrio.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio
U37378	1	1519	s93	Butyrivibrio proteoclasticus		Lachnospiraceae	1	http://www.bacterio.net/butyrivibrio.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio
AJ833647	1	1529	s93	Byssovorax cruenta	type sp.	Polyangiaceae	1	http://www.bacterio.net/byssovorax.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae;Byssovorax
X71837	1	1695	s93	Caedibacter caryophilus		Unclassified Thiotrichales	1, n	http://www.bacterio.net/caedibacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Other Rhodospirillales	Bacteria;Proteobacteria;Gammaproteobacteria;Unclassified Thiotrichales;Caedibacter
AY102612	1	1544	s93	Caedibacter taeniospiralis	type sp.	Unclassified Thiotrichales	1, n	http://www.bacterio.net/caedibacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Other Thiotrichales	Bacteria;Proteobacteria;Gammaproteobacteria;Unclassified Thiotrichales;Caedibacter
DQ349098	1	1457	s95	Caenimonas koreensis	type sp.	Comamonadaceae	1	http://www.bacterio.net/caenimonas.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas
GU181268	1	1433	s115	Caenimonas terrae		Comamonadaceae		http://www.bacterio.net/caenimonas.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas
EF100694	1	1441	s93	Caenispirillum bisanense	type sp.	Rhodospirillaceae	1	http://www.bacterio.net/caenispirillum.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Caenispirillum
HG974543	1	1402	s128	Caenispirillum deserti		Rhodospirillaceae		http://www.bacterio.net/caenispirillum.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Caenispirillum
FN995238	1	1426	s111	Caenispirillum salinarum		Rhodospirillaceae		http://www.bacterio.net/caenispirillum.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Caenispirillum
AY753654	1	1485	s93	Caldalkalibacillus thermarum	type sp.	Bacillaceae	1	http://www.bacterio.net/caldalkalibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldalkalibacillus
DQ221694	1	1436	s95	Caldalkalibacillus uzonensis		Bacillaceae	1	http://www.bacterio.net/caldalkalibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldalkalibacillus
AF195797	1	1372	s115	Caldanaerobacter subterraneus subsp. subterraneus	type sp.	Thermoanaerobacteraceae	1	http://www.bacterio.net/caldanaerobacter.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Thermoanaerobacterales and Dictyoglomales;Thermoanaerobacteraceae	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobacter
AE008691	53858	55384	s102	Caldanaerobacter subterraneus subsp. tengcongensis		Thermoanaerobacteraceae	1	http://www.bacterio.net/caldanaerobacter.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Thermoanaerobacterales and Dictyoglomales;Thermoanaerobacteraceae	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobacter
AF212925	1	1501	s93	Caldanaerobacter subterraneus subsp. yonseiensis		Thermoanaerobacteraceae	1	http://www.bacterio.net/caldanaerobacter.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Thermoanaerobacterales and Dictyoglomales;Thermoanaerobacteraceae	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobacter
EF195126	1	1417	s104	Caldanaerobacter uzonensis		Thermoanaerobacteraceae		http://www.bacterio.net/caldanaerobacter.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Thermoanaerobacterales and Dictyoglomales;Thermoanaerobacteraceae	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobacter
EF507903	1	1354	s95	Caldanaerobius fijiensis	type sp.	Thermoanaerobacteraceae	1	http://www.bacterio.net/caldanaerobius.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Unclassified Thermoanaerobacterales	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobius
U40229	1	1438	s93	Caldanaerobius polysaccharolyticus		Thermoanaerobacteraceae	1	http://www.bacterio.net/caldanaerobius.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Unclassified Thermoanaerobacterales	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobius
U75993	1	1449	s93	Caldanaerobius zeae		Thermoanaerobacteraceae	1	http://www.bacterio.net/caldanaerobius.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Unclassified Thermoanaerobacterales	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobius
EF530069	1	1418	s102	Caldanaerovirga acetigignens	type sp.	Unclassified Thermoanaerobacterales		http://www.bacterio.net/caldanaerovirga.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Thermoanaerobacterales and Dictyoglomales	Bacteria;Firmicutes;Clostridia;Unclassified Thermoanaerobacterales;Caldanaerovirga
AB758274	1	1503	s119	Calderihabitans maritimus	type sp.	Thermoanaerobacteraceae		http://www.bacterio.net/calderihabitans.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Other Thermoanaerobacteraceae	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Calderihabitans
FN428699	1	1512	s111	Caldibacillus debilis	type sp.	Bacillaceae		http://www.bacterio.net/caldibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Other Bacillaceae	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldibacillus
AY772476	1	1421	s93	Caldicellulosiruptor acetigenus		Unclassified Thermoanaerobacterales	1	http://www.bacterio.net/caldicellulosiruptor.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Thermoanaerobacterales and Dictyoglomales	Bacteria;Firmicutes;Clostridia;Unclassified Thermoanaerobacterales;Caldicellulosiruptor
